Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
31-Mar-2015 23:00,01-Apr-2015 00:00,0.0,0.0,0.0
01-Apr-2015 00:00,01-Apr-2015 01:00,0.0,0.0,0.0
01-Apr-2015 01:00,01-Apr-2015 02:00,0.0,0.0,0.0
01-Apr-2015 02:00,01-Apr-2015 03:00,0.0,0.0,0.0
01-Apr-2015 03:00,01-Apr-2015 04:00,0.0,0.0,0.0
01-Apr-2015 04:00,01-Apr-2015 05:00,0.0,0.0,0.0
01-Apr-2015 05:00,01-Apr-2015 06:00,0.0,0.0,0.0
01-Apr-2015 06:00,01-Apr-2015 07:00,0.0,0.0,0.0
01-Apr-2015 07:00,01-Apr-2015 08:00,0.0,0.0,0.0
01-Apr-2015 08:00,01-Apr-2015 09:00,0.00812729247126975,0.0,18.0
01-Apr-2015 09:00,01-Apr-2015 10:00,1.58954207427911,0.0,3365.0
01-Apr-2015 10:00,01-Apr-2015 11:00,0.37959711767476,1.0,750.0
01-Apr-2015 11:00,01-Apr-2015 12:00,0.0420990148002233,0.0,91.0
01-Apr-2015 12:00,01-Apr-2015 13:00,0.201659709638525,1.0,432.0
01-Apr-2015 13:00,01-Apr-2015 14:00,0.422339688560708,1.0,891.0
01-Apr-2015 14:00,01-Apr-2015 15:00,0.506334704539788,1.0,1051.0
01-Apr-2015 15:00,01-Apr-2015 16:00,0.0346958139461914,0.0,76.0
01-Apr-2015 16:00,01-Apr-2015 17:00,0.147670028905123,0.0,322.0
01-Apr-2015 17:00,01-Apr-2015 18:00,0.0430284016341821,0.0,87.0
01-Apr-2015 18:00,01-Apr-2015 19:00,0.194134224874888,1.0,409.0
01-Apr-2015 19:00,01-Apr-2015 20:00,0.0,0.0,0.0
01-Apr-2015 20:00,01-Apr-2015 21:00,0.163236874757385,0.0,358.466610048463
01-Apr-2015 21:00,01-Apr-2015 22:00,0.999288306719237,4.0,2210.86737685989
01-Apr-2015 22:00,01-Apr-2015 23:00,0.26923365938174,1.0,603.666013091648
01-Apr-2015 23:00,02-Apr-2015 00:00,0.0,0.0,0.0
02-Apr-2015 00:00,02-Apr-2015 01:00,0.0,0.0,0.0
02-Apr-2015 01:00,02-Apr-2015 02:00,0.0,0.0,0.0
02-Apr-2015 02:00,02-Apr-2015 03:00,0.0,0.0,0.0
02-Apr-2015 03:00,02-Apr-2015 04:00,0.0,0.0,0.0
02-Apr-2015 04:00,02-Apr-2015 05:00,0.0,0.0,0.0
02-Apr-2015 05:00,02-Apr-2015 06:00,0.0,0.0,0.0
02-Apr-2015 06:00,02-Apr-2015 07:00,0.0,0.0,0.0
02-Apr-2015 07:00,02-Apr-2015 08:00,0.0,0.0,0.0
02-Apr-2015 08:00,02-Apr-2015 09:00,0.0,0.0,0.0
02-Apr-2015 09:00,02-Apr-2015 10:00,1.06486930795463,3.0,2306.51431303885
02-Apr-2015 10:00,02-Apr-2015 11:00,0.0715917089101955,0.0,167.485686961149
02-Apr-2015 11:00,02-Apr-2015 12:00,0.0137403617554387,0.0,32.0
02-Apr-2015 12:00,02-Apr-2015 13:00,0.138090912350326,0.0,306.0
02-Apr-2015 13:00,02-Apr-2015 14:00,0.173307901380653,0.0,383.0
02-Apr-2015 14:00,02-Apr-2015 15:00,0.116938854430454,0.0,272.0
02-Apr-2015 15:00,02-Apr-2015 16:00,0.103144802320253,0.0,219.0
02-Apr-2015 16:00,02-Apr-2015 17:00,0.171710880328523,0.0,373.0
02-Apr-2015 17:00,02-Apr-2015 18:00,0.0488762812660842,0.0,107.0
02-Apr-2015 18:00,02-Apr-2015 19:00,0.532598996846743,0.0,1112.0
02-Apr-2015 19:00,02-Apr-2015 20:00,0.959253525796874,2.0,1977.0
02-Apr-2015 20:00,02-Apr-2015 21:00,0.502035495513482,0.0,1080.0
02-Apr-2015 21:00,02-Apr-2015 22:00,0.118017321808039,1.0,265.0
02-Apr-2015 22:00,02-Apr-2015 23:00,0.0745665819417096,1.0,174.0
02-Apr-2015 23:00,03-Apr-2015 00:00,0.0,0.0,0.0
03-Apr-2015 00:00,03-Apr-2015 01:00,0.0,0.0,0.0
03-Apr-2015 01:00,03-Apr-2015 02:00,0.0,0.0,0.0
03-Apr-2015 02:00,03-Apr-2015 03:00,0.0,0.0,0.0
03-Apr-2015 03:00,03-Apr-2015 04:00,0.0,0.0,0.0
03-Apr-2015 04:00,03-Apr-2015 05:00,0.0,0.0,0.0
03-Apr-2015 05:00,03-Apr-2015 06:00,0.0,0.0,0.0
03-Apr-2015 06:00,03-Apr-2015 07:00,0.0,0.0,0.0
03-Apr-2015 07:00,03-Apr-2015 08:00,0.0,0.0,0.0
03-Apr-2015 08:00,03-Apr-2015 09:00,0.0162608957436465,0.0,39.0
03-Apr-2015 09:00,03-Apr-2015 10:00,1.68974779086075,1.0,3531.0
03-Apr-2015 10:00,03-Apr-2015 11:00,0.378633895239032,1.0,735.0
03-Apr-2015 11:00,03-Apr-2015 12:00,0.0324246051496978,0.0,71.0
03-Apr-2015 12:00,03-Apr-2015 13:00,0.325705399995135,0.0,668.0
03-Apr-2015 13:00,03-Apr-2015 14:00,0.651872459369083,1.0,1275.0
03-Apr-2015 14:00,03-Apr-2015 15:00,0.583799497652943,0.0,1242.0
03-Apr-2015 15:00,03-Apr-2015 16:00,0.0112215753748093,0.0,24.0
03-Apr-2015 16:00,03-Apr-2015 17:00,0.150020753797761,0.0,323.0
03-Apr-2015 17:00,03-Apr-2015 18:00,0.0454055348016554,0.0,96.0
03-Apr-2015 18:00,03-Apr-2015 19:00,0.018058309006617,0.0,38.0
03-Apr-2015 19:00,03-Apr-2015 20:00,0.977212124162768,2.0,1902.0
03-Apr-2015 20:00,03-Apr-2015 21:00,1.07655159087434,0.0,2302.16032034749
03-Apr-2015 21:00,03-Apr-2015 22:00,0.364066449768284,1.0,745.839679652509
03-Apr-2015 22:00,03-Apr-2015 23:00,0.0,0.0,0.0
03-Apr-2015 23:00,04-Apr-2015 00:00,0.0,0.0,0.0
04-Apr-2015 00:00,04-Apr-2015 01:00,0.0,0.0,0.0
04-Apr-2015 01:00,04-Apr-2015 02:00,0.0,0.0,0.0
04-Apr-2015 02:00,04-Apr-2015 03:00,0.0,0.0,0.0
04-Apr-2015 03:00,04-Apr-2015 04:00,0.0,0.0,0.0
04-Apr-2015 04:00,04-Apr-2015 05:00,0.0,0.0,0.0
04-Apr-2015 05:00,04-Apr-2015 06:00,0.0,0.0,0.0
04-Apr-2015 06:00,04-Apr-2015 07:00,0.0,0.0,0.0
04-Apr-2015 07:00,04-Apr-2015 08:00,0.0,0.0,0.0
04-Apr-2015 08:00,04-Apr-2015 09:00,0.0,0.0,0.0
04-Apr-2015 09:00,04-Apr-2015 10:00,0.977845243153701,3.0,2047.0
04-Apr-2015 10:00,04-Apr-2015 11:00,0.411867059652251,0.0,869.0
04-Apr-2015 11:00,04-Apr-2015 12:00,0.983867883420648,1.0,2009.0
04-Apr-2015 12:00,04-Apr-2015 13:00,0.321279578605252,1.0,698.866962519377
04-Apr-2015 13:00,04-Apr-2015 14:00,1.83503263606514,5.0,3999.13303748062
04-Apr-2015 14:00,04-Apr-2015 15:00,0.740158043381783,2.0,1659.0
04-Apr-2015 15:00,04-Apr-2015 16:00,0.135259984031746,0.0,308.0
04-Apr-2015 16:00,04-Apr-2015 17:00,0.491012636302141,1.0,1064.17133368312
04-Apr-2015 17:00,04-Apr-2015 18:00,0.552434161690267,1.0,1229.82866631688
04-Apr-2015 18:00,04-Apr-2015 19:00,0.0637489949294338,0.0,153.0
04-Apr-2015 19:00,04-Apr-2015 20:00,0.00995553157004341,0.0,21.0
04-Apr-2015 20:00,04-Apr-2015 21:00,0.0,0.0,0.0
04-Apr-2015 21:00,04-Apr-2015 22:00,0.0948940608679919,0.0,219.0
04-Apr-2015 22:00,04-Apr-2015 23:00,0.456313001243329,3.0,1015.04439556286
04-Apr-2015 23:00,05-Apr-2015 00:00,0.649887141441634,2.0,1399.95560443714
05-Apr-2015 00:00,05-Apr-2015 01:00,0.0,0.0,0.0
05-Apr-2015 01:00,05-Apr-2015 02:00,0.0,0.0,0.0
05-Apr-2015 02:00,05-Apr-2015 03:00,0.0,0.0,0.0
05-Apr-2015 03:00,05-Apr-2015 04:00,0.0,0.0,0.0
05-Apr-2015 04:00,05-Apr-2015 05:00,0.0,0.0,0.0
05-Apr-2015 05:00,05-Apr-2015 06:00,0.0,0.0,0.0
05-Apr-2015 06:00,05-Apr-2015 07:00,0.0,0.0,0.0
05-Apr-2015 07:00,05-Apr-2015 08:00,0.0,0.0,0.0
05-Apr-2015 08:00,05-Apr-2015 09:00,0.0,0.0,0.0
05-Apr-2015 09:00,05-Apr-2015 10:00,0.0,0.0,0.0
05-Apr-2015 10:00,05-Apr-2015 11:00,0.64061797073109,0.0,1380.0
05-Apr-2015 11:00,05-Apr-2015 12:00,0.00678673266865611,0.0,14.0
05-Apr-2015 12:00,05-Apr-2015 13:00,0.818073537592384,0.0,1606.16844764536
05-Apr-2015 13:00,05-Apr-2015 14:00,2.31864110028822,0.0,4651.83155235464
05-Apr-2015 14:00,05-Apr-2015 15:00,2.75105492111553,1.0,5426.0
05-Apr-2015 15:00,05-Apr-2015 16:00,0.0148571644904585,0.0,35.0
05-Apr-2015 16:00,05-Apr-2015 17:00,0.0,0.0,0.0
05-Apr-2015 17:00,05-Apr-2015 18:00,0.0,0.0,0.0
05-Apr-2015 18:00,05-Apr-2015 19:00,0.0,0.0,0.0
05-Apr-2015 19:00,05-Apr-2015 20:00,0.0,0.0,0.0
05-Apr-2015 20:00,05-Apr-2015 21:00,0.00709422777971313,0.0,20.0
05-Apr-2015 21:00,05-Apr-2015 22:00,0.863710165107781,2.0,1831.0
05-Apr-2015 22:00,05-Apr-2015 23:00,0.00932553008616461,0.0,29.0
05-Apr-2015 23:00,06-Apr-2015 00:00,0.0,0.0,0.0
06-Apr-2015 00:00,06-Apr-2015 01:00,0.0,0.0,0.0
06-Apr-2015 01:00,06-Apr-2015 02:00,0.0,0.0,0.0
06-Apr-2015 02:00,06-Apr-2015 03:00,0.0,0.0,0.0
06-Apr-2015 03:00,06-Apr-2015 04:00,0.0,0.0,0.0
06-Apr-2015 04:00,06-Apr-2015 05:00,0.0,0.0,0.0
06-Apr-2015 05:00,06-Apr-2015 06:00,0.0,0.0,0.0
06-Apr-2015 06:00,06-Apr-2015 07:00,0.0,0.0,0.0
06-Apr-2015 07:00,06-Apr-2015 08:00,0.0,0.0,0.0
06-Apr-2015 08:00,06-Apr-2015 09:00,0.0,0.0,0.0
06-Apr-2015 09:00,06-Apr-2015 10:00,1.91374883990175,2.0,3883.0
06-Apr-2015 10:00,06-Apr-2015 11:00,0.0386016578795085,0.0,85.0
06-Apr-2015 11:00,06-Apr-2015 12:00,0.044906611487976,0.0,94.0
06-Apr-2015 12:00,06-Apr-2015 13:00,0.211491350294224,0.0,422.0
06-Apr-2015 13:00,06-Apr-2015 14:00,0.249699450243937,0.0,522.0
06-Apr-2015 14:00,06-Apr-2015 15:00,0.435392465677808,0.0,911.0
06-Apr-2015 15:00,06-Apr-2015 16:00,0.0501815196913353,0.0,111.0
06-Apr-2015 16:00,06-Apr-2015 17:00,0.069812431678375,0.0,143.0
06-Apr-2015 17:00,06-Apr-2015 18:00,0.363535774523096,0.0,807.0
06-Apr-2015 18:00,06-Apr-2015 19:00,0.219715259460764,0.0,471.0
06-Apr-2015 19:00,06-Apr-2015 20:00,0.417459168763865,0.0,909.0
06-Apr-2015 20:00,06-Apr-2015 21:00,0.625428651238594,1.0,1373.0
06-Apr-2015 21:00,06-Apr-2015 22:00,0.0,0.0,0.0
06-Apr-2015 22:00,06-Apr-2015 23:00,0.0,0.0,0.0
06-Apr-2015 23:00,07-Apr-2015 00:00,0.0,0.0,0.0
07-Apr-2015 00:00,07-Apr-2015 01:00,0.0,0.0,0.0
07-Apr-2015 01:00,07-Apr-2015 02:00,0.0,0.0,0.0
07-Apr-2015 02:00,07-Apr-2015 03:00,0.0,0.0,0.0
